index,alcoholName,normalizedName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keyword,volume,price,manufacturer,ingredients,brewery,description,representative,address,contact,website,foodPairing,imageURL,detailPageUrl,docId
154,로얄 안동소주 18년,로얄안동소주18년,3.0,,,4.0,45%,0.0,증류식소주,,600ml,"￦72,000(가격은 판매처 별로 상이할 수 있습니다.)",농업회사법인 유토피아(주),"국내산 쌀, 입국",농업회사법인 유토피아(주),'로얄 안동소주'는 100% 국내산 쌀과 안동 고지대의 천연 암반수를 사용하여 감압증류와 냉동여과 등의 현대적인 공정을 거쳐 만들어진 45% 증류 원액만으로 제조한 제품이다. 특이한 점은 안동소주를 생산하는 타 브랜드와는 달리 프리미엄 제품에 한하여 해외 유명 위스키나 꼬냑처럼 장기숙성을 거친다는 점인데 2017년 들어서 '로얄 안동소주'는 18년째 장기숙성한 프리미엄 제품이다.,서주현,경북 안동시 남후면 광음리 1111-2,070-7439-3129,https://sojumall.modoo.at/,굴 요리가 생각난다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595311-%EB%A1%9C%EC%96%84%20%EC%95%88%EB%8F%99%EC%86%8C%EC%A3%BC%2018%EB%85%84_main.jpg,https://terms.naver.com/entry.naver?docId=3595311&cid=58637&categoryId=58657,3595311
155,르깔롱,르깔롱,,,,4.0,16%,0.0,리큐르,,500ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)",추성고을,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라",추성고을,"르깔롱은 추성주로 22대 대한민국 식명인에 지정된 양대수 명인이 출시한 젊은감각의 전통주이다. 담양대나무죽력과 멜론, 코코넛향 등 첨가물들의 어울림으로 다양한 맛과 향이 있는 조화로운 리큐르주이다. 오렌지주스나 에너지음료 등으로 다양한 칵테일을 만들 수 있는 메인주류로써 풍부한 향과 풍미가 있는 술이다. 국내 클럽에서 주로 판매되는 수입주류를 대체할 수 있는 최초의 클럽용 전통주로써 위축된 전통주 시장을 활성화 시킬수 있는 발판을 마련했다.",양대수,전남 담양군 용면 추령로 29,061-383-3011,https://chusungju.modoo.at/,특별한 안주보다는 열대과일과 아주 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040749-%EB%A5%B4%EA%B9%94%EB%A1%B1_main.jpg,https://terms.naver.com/entry.naver?docId=6040749&cid=58637&categoryId=58656,6040749
156,마셔블랑,마셔블랑,3.0,3.0,3.0,2.0,12%,0.0,일반증류주,"파티, 홈술",750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인(주)시트러스,"감귤과즙(한라봉), 백설탕, 액상효모, 무수아황산",농업회사법인(주)시트러스,"'마셔블랑'은 제주산 한라봉을 착즙하여 만든 제주 특산 화이트와인이다. 향긋한 한라봉의 향과 달콤한 맛, 그리고 드라이한 끝 맛이 특징이다. 원료와 효모는 제조사에서 생산하는 '혼디주'와 동일하나 한라봉을 착즙하여 첨가하여 싱그러움을 더한 제품이다. 저온 장기 발효와 숙성공법으로 만들어져 달콤하고 부드러운 맛과 한라봉 특유의 청량한 느낌의 향이 풍부하다.",김공률,제주특별자치도 서귀포시 남원읍 신례천로46,064-767-9800,,맛과 향을 방해하지 않는 가벼운 샐러드와 즐기면 이 술의 매력을 더욱 잘 느낄 것이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804516-%EB%A7%88%EC%85%94%EB%B8%94%EB%9E%91_main.jpg,https://terms.naver.com/entry.naver?docId=5804516&cid=58637&categoryId=58659,5804516
157,마주 소곡주,마주소곡주,4.0,3.0,2.0,4.0,16%,0.0,약주,명절,500ml,"￦17,000 (가격은 판매처 별로 상이할 수 있습니다)",옥순가 소곡주 마주,"찹쌀(국내산), 백미(국내산), 모싯잎, 우리밀 누룩, 정제수, 효모",옥순가 소곡주 마주,'마주 소곡주'는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주이다. 직접 재배한 찹쌀과 모싯잎 등 재료와 우리밀 누룩을 사용하여 빚어낸 술이다. 강한 첫 맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급 원료를 사용하기 때문에 그 맛과 향이 뛰어나다. 술 맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날 줄 모른다 하여 '앉은뱅이술'이라는 별칭도 가지고 있다.,고종만,충청남도 서천군 서초면 시초동로 88-1,010-5094-8267,,맛이 강한 음식과 함께 먹으면 이 술의 맛을 잘 못 느낄 수 있기 때문에 가급적 담백한 산채 요리 등이 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040755-%EB%A7%88%EC%A3%BC%20%EC%86%8C%EA%B3%A1%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040755&cid=58637&categoryId=58654,6040755
158,마주 소곡화주,마주소곡화주,,,,4.0,41%,0.0,일반증류주,선물,500ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)",옥순가 소곡주 마주,"찹쌀(국내산), 백미(국내산), 모싯잎, 우리밀 누룩, 정제수, 홍고추",옥순가 소곡주 마주,'마주 소곡화주'는 국내산 찹쌀과 누룩을 주원료로 빚은 소곡주를 동(銅) 증류기를 이용하여 상압식으로 정성스럽게 증류하여 숙성시킨 증류주다. 높은 도수에 비하여 부드럽고 깔끔한 목 넘김이 일품이며 은은한 누룩향이 매력 있다. 직접 재배한 찹쌀과 모싯잎 등 재료와 우리밀 누룩을 사용하여 빚어낸 술이다.,고종만,충청남도 서천군 서초면 시초동로 88-1,010-5094-8267,,"서천에서 만들어지는 술인 만큼 서천의 명물인 아귀찜 등이 잘 어울리며, 얼음이나 차가운 탄산수를 넣어 즐기는 것도 추천해 본다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040718-%EB%A7%88%EC%A3%BC%20%EC%86%8C%EA%B3%A1%ED%99%94%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040718&cid=58637&categoryId=58654,6040718
159,막시모40,막시모40,,,,3.0,40%,0.0,일반증류주,,500ml,"￦49,000 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인(주)착한농부,"오미자(국내산)증류원액, 오미자(국내산)원액, 정제수",농업회사법인(주)착한농부,"'막시모40'은 경북 예천의 친환경 오미자를 원료로 국세청으로부터 이전 받은 특허공법과 농업회사법인(주)착한농부의 주류 생산 역량이 결합하여 탄생한 프리미엄 오미자 증류주이다. 맑고 투명한 주황 빛깔에 오미자 특유의 오묘하고 상큼한 향, 그리고 오미자의 다섯 가지 맛을 느낄 수 있는 제품이다. 다수의 주류품평회에서 수상하여 맛과 품질을 인정 받았다.",김상선,경북 예천군 용문면 복천길 16-8,054-652-0877,https://goodfarmer.modoo.at/,양념 불고기와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804485-%EB%A7%89%EC%8B%9C%EB%AA%A840_main.jpg,https://terms.naver.com/entry.naver?docId=5804485&cid=58637&categoryId=58657,5804485
160,만강에 비친 달,만강에비친달,2.0,3.0,3.0,3.0,10%,0.0,탁주,선물,500ml,"￦17,000 (가격은 판매처 별로 상이할 수 있습니다.)",예술,"쌀(국내산), 정제수, 단호박(국내산), 밀누룩",예술,"'만강에 비친 달'은 이름 그대로 만개의 강에 달이 비친다는 의미를 가지고 있다. 만강은 사랑과 자비가 온 누리의 모든 사람들에게 펼쳐진다는 개념을 형상화 한 것인데, 우리의 전통주도 이렇게 많은 이들이 누릴 수 있기를 바라는 의미를 내포하고 있다.",정회철,강원도 춘천시 신동면 풍류1길 6-3,033-261-1525,,찌개류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551533-%EB%A7%8C%EA%B0%95%EC%97%90%20%EB%B9%84%EC%B9%9C%20%EB%8B%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3551533&cid=58637&categoryId=58652,3551533
161,맑은 문희주,맑은문희주,3.0,1.0,1.0,4.0,13%,0.0,약주,"무감미료, 선물, 파티, 혼술, 홈술",750ml,"￦36,000 (가격은 판매처 별로 상이할 수 있습니다.)",문경주조,"유기농찹쌀 (국산), 멥쌀 (국산), 전통누룩 (우리 밀), 정제수",문경주조,맑은술 문희주는 묵직하고 짙은 맛의 탁주를 자연침전과 오랜 숙성의 기다림으로 맑게 걸러낸 부드럽고 깊은 맛의 술이다. 13%의 도수로 목 넘김이 부드럽고 깔끔한 맛이 일품.,홍승희,경북 문경시 동로면 노은2리 49-15,054) 552-8252,,봄에 나는 나물 무침과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551578-%EB%A7%91%EC%9D%80%20%EB%AC%B8%ED%9D%AC%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=3551578&cid=58637&categoryId=58657,3551578
162,맑은내일 Winery 단감명작,맑은내일winery단감명작,3.0,2.0,3.0,2.0,7%,0.0,과실주,"과일류, 선물, 예쁜술",750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인 우포의아침 주식회사,"단감(국내산_창녕), 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산아방지제), 소브산(보존료)",농업회사법인 우포의아침 주식회사,"창녕 단감만의 달달한 한 모금, 맑은내일 Winery 단감명작은 봄, 여름을 지나 늦가을까지 충분히 잘 익은 단감을 한 병에 담았다. 과육에서 얻을 수 있는 자연 그대로의 맛과 영양성분을 최대한 추출하는 특허증(제 10-0930943호)을 취득했다. 이 제조 공법이 담긴 와인은 오직 맑은내일(우포의아침)의 전통주로만 만날 수 있다.",박중협,경상남도 창녕군 대지면 대지농공단지길 40,010-4595-6353,,"샐러드류와 해산물과도 잘 어울리며, 케이크와 마카롱과 같은 디저트와 함께 하는 것도 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598722-%EB%A7%91%EC%9D%80%EB%82%B4%EC%9D%BC%20Winery%20%EB%8B%A8%EA%B0%90%EB%AA%85%EC%9E%91_main.png,https://terms.naver.com/entry.naver?docId=6598722&cid=58637&categoryId=58658,6598722
163,맑은내일 발효막걸리,맑은내일발효막걸리,3.0,3.0,3.0,4.0,7%,0.0,탁주,,"750ml / 1,000ml","750ml ￦2,200, 1,000ml ￦6,500 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인 우포의아침(주),"쌀(국내산), 누룩, 효소, 아스파탐, 정제수",농업회사법인 우포의아침(주),맑은내일 발효막걸리는 국내산 쌀 100%를 발효시켜서 정성껏 빚은 프리미엄 막걸리다. 1945년 창원 사화정미소로부터 이어온 노하우로 만든 창원을 대표하는 전통주 명가에서 선보이는 모던한 디자인의 술이다. 전통누룩의 함량이 높아 더욱 부드럽고 깊은 향이 나고 유산균이 빚어내는 오묘한 산미와 단맛을 지녔다.,박중협,"(1공장) 경남 창녕군 대지면 대지농공단지길 40, (2공장) 경남 창원시 의창군 북면 천주로 1173번길29",070-4105-0997,http://www.woopo.net,"함박 스테이크, 파스타와도 충분히 함께 즐길 수 있다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040740-%EB%A7%91%EC%9D%80%EB%82%B4%EC%9D%BC%20%EB%B0%9C%ED%9A%A8%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=6040740&cid=58637&categoryId=58658,6040740
164,맑은내일 우포,맑은내일우포,3.0,2.0,2.0,2.0,12%,0.0,살균 약주,"혼술, 홈술",325ml / 500ml,"325ml ￦5,000, 500ml ￦7,000 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인 우포의아침(주),"쌀(국내산), 옥수수전분, 효모, 누룩, 양파, 정제수",농업회사법인 우포의아침(주),"맑은내일 우포는 쌀과 밀누룩을 사용해 만든 약주에 창녕의 특산물 양파를 넣어 완성한 맑고 깔끔한 맛이 매력적인 약주이다. 양파를 원료로 완성해 말간 색을 띠고 있다. 2008년 환경올림픽이라 불리는 람사르총회 공식 건배주로 선정되었다. 제조사 우포의 아침은 술을 비롯해 발효 식초, 건강 음료, 양조발효 장아찌 등 발효식품 전문기업으로 고유의 발효기술을 기반으로 바이오기업으로 도약하고자 하는 미래형 양조장이다.",박중협,"(1공장) 경남 창녕군 대지면 대지농공단지길 40, (2공장) 경남 창원시 의창군 북면 천주로 1173번길29",070-4105-0997,http://www.woopo.net,"집안에서 홈술로 즐기기 좋은 술이며, 김치찌개, 된장찌개 등 일상의 음식과 즐기기 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040737-%EB%A7%91%EC%9D%80%EB%82%B4%EC%9D%BC%20%EC%9A%B0%ED%8F%AC_main.jpg,https://terms.naver.com/entry.naver?docId=6040737&cid=58637&categoryId=58658,6040737
165,맑은술 해밀,맑은술해밀,3.0,2.0,2.0,2.0,15%,0.0,약주,,500ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)",내변산양조장,"쌀, 누룩, 정제수",내변산양조장,"'맑은술 해밀'은 40 여년간 약주와 탁주, 한국와인 등 지역 농임산물을 활용하여 다양한 술을 빚어온 내변산양조장에서 2018년 새롭게 선보인 프리미엄 약주이다. 전라북도 부안의 1급수와 국내산 쌀로 빚은 막걸리를 맑게 짜낸 후 100일간 발효하고 이후 오크통에서 다시 한번 100일간 숙성한 제품이다. 오크통 숙성으로 은은한 스모크향이 일품이며 목넘김이 부드러워 색다른 약주의 맛을 경험할 수 있다.",정태식,전북 부안군 행안면 부안농공단지길 14-11,063-582-0027,,약주 주종이 보통 단맛이 도는데 함께하는 음식은 생선요리 등과 같이 담백한 맛에 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804438-%EB%A7%91%EC%9D%80%EC%88%A0%20%ED%95%B4%EB%B0%80_main.jpg,https://terms.naver.com/entry.naver?docId=5804438&cid=58637&categoryId=58655,5804438
166,매료막걸리ver.1,매료막걸리ver1,,,,,6%,,탁주,,650ml,"￦6,900 (가격은 판매처 별로 상이할 수 있습니다)",양조장 기다림,"쌀(국내산), 누룩, 효모, 정제수, 젖산(산도조절제)",양조장 기다림,"오로지 쌀과 누룩만을 사용한 프리미엄 막걸리.덧술을 세 번 더하는 삼양주 방식으로 주조, 설탕 및 일체의 첨가제 없이 만들어진 고급스러운 단맛과 요거트를 떠오르게 하는 부드러움이 있다.",조태영,부산 해운대구 좌동로 10번길 51-5 1층,051-505-8523,https://maeryo-gidarim.co.kr/,"신선한 요거트 향이 매력적인 막걸리이기 때문에 매운 음식, 부산의 낙곱새, 연어 샐러드, 과일 등과 함께 먹어도 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6743422-%EB%A7%A4%EB%A3%8C%EB%A7%89%EA%B1%B8%EB%A6%ACver1_main.png,https://terms.naver.com/entry.naver?docId=6743422&cid=58637&categoryId=58645,6743422
167,매실 막걸리,매실막걸리,3.0,2.0,1.0,5.0,7%,0.0,살균탁주,,750ml,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)",농업회사법인(주)백운주가,"쌀, 매실과즙",농업회사법인(주)백운주가,매실 막걸리는 백운 복분자주로 유명한 백운주가에서 제조한 제품이다. 저온장기 발효방식의 매실 막걸리는 젊은 소비자의 입맛에 맞게 개발된 제품으로 부드러운 목넘김을 강조한 막걸리이다. 특히 새콤달콤한 맛의 광양에서 재배한 매실을 사용하였다. 매실은 혈압을 낮추고 스트레스 해소에 좋은 식품으로 알려져 있어 '매실 막걸리'는 웰빙 막걸리라고 말할 수 있다. 냉장 저장고에서 휴면발효공법으로 숙취와 잡냄새를 제거하였다.,최창석,전라남도 광양시 옥룡면 신재로 946-18,061-763-6651,,더덕구이 등이 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595282-%EB%A7%A4%EC%8B%A4%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.JPG,https://terms.naver.com/entry.naver?docId=3595282&cid=58637&categoryId=58656,3595282
168,매실와인 에델 스위트,매실와인에델스위트,,,,,13%,,기타주류,,375ml,"￦27,000 (가격은 판매처 별로 상이할 수 있습니다)",에델농원,"매실발효액, 정제수, 효모",에델농원,"“매실와인 에델”은 맑고 투명한 황금색으로 순수하고 깔끔한 맛과 풍부한 매화 향을 느낄 수 있는, 화학첨가물이 전혀 없는 매실와인이다. “매실와인 에델”은 천혜의 자연경관과 청정지역인 충청북도 단양에 위치한 에델농원에서 직접 재배한 매실로 만들고 있다.",김재양,충청북도 단양군 영춘면 별방창원로 896,010-5382-1168,http://www.wineedel.com/skin_mw1/index.php?PHPSESSID=6994bf98c42f6302d047103d04f7aaba,"또한 미지근해지면 산미, 탄닌, 당도 등 모든 맛들이 표출되기에 8도에서 15도정도의 시원한 맛으로 즐기는 것을 추천한다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6743391-%EB%A7%A4%EC%8B%A4%EC%99%80%EC%9D%B8%20%EC%97%90%EB%8D%B8%20%EC%8A%A4%EC%9C%84%ED%8A%B8_main.png,https://terms.naver.com/entry.naver?docId=6743391&cid=58637&categoryId=58653,6743391
169,매실원주 15도,매실원주15도,,,,,15%,,리큐르,,300ml,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)",더한주류,"매실주원액, 발효주정, 정제수, 꿀",더한주류,"제조사 '더한'에서 제조하는 매실주는 특별하다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면, 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 재품을 만든다는 제품 철학으로 황매를 이용한다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 국내외 주류품평회에서 수 많은 수상기록이 말해주듯 '매실원주'의 제품력은 단연 최고이다.",한상헌,서울시 은평구 증산로7길 28-13,02-2280-8080,,양념된 고기류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595250-%EB%A7%A4%EC%8B%A4%EC%9B%90%EC%A3%BC%2015%EB%8F%84_main.jpg,https://terms.naver.com/entry.naver?docId=3595250&cid=58637&categoryId=58644,3595250
170,매실향기 담은 술,매실향기담은술,3.0,3.0,3.0,3.0,14%,0.0,약주,,500ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인 명세주가(주),"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",농업회사법인 명세주가(주),"'매실향기 담은 술'은 충북 청주시에 위치한 양조장 명세주가에서 국내산 쌀로 정성껏 빚어 발효시킨 동동주에 매실을 발효시켜 만든 효소액을 첨가하여 은은한 매실향이 매력적인 약주이다. 명세주가는 경영주가 청원생명쌀의 고장인 청원군 가덕면 한계리에서 농약을 사용하지 않고 우렁이 농법으로 친환경 재배한 지역 쌀을 원료로 막걸리, 약주, 증류주 등 다양한 제품을 생산하고 있다. 좋은 술을 만들기 위해서는 원재료비가 비싸더라도 좋은 재료를 사용해야 한다는 경영철학으로 맛과 품질에서 당당히 소비자에게 내놓을 수 있는 술을 빚고 있다.",오웅진,충북 청주시 상당구 가덕면 한계길 32-5,043-297-6122,https://mssool.co.kr/,"소고기 전골 등, 육류와 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804459-%EB%A7%A4%EC%8B%A4%ED%96%A5%EA%B8%B0%20%EB%8B%B4%EC%9D%80%20%EC%88%A0_main.jpg,https://terms.naver.com/entry.naver?docId=5804459&cid=58637&categoryId=58653,5804459
171,매아랑,매아랑,,,,,9%,,기타 주류,,,,,,,"매아랑은 세계 최초로 매실로 만든 하동 특산주로 제조장이 경남 하동군 옥종면 궁항리 지리산 왕자봉인 주산 기슭 해발 400m에 위치해 있는 것만으로도 이미 와인이 지리산 왕자봉의 기를 담고 있다고 할 수 있다. 하동 매실와인이 좋은 이유는 자연 발효를 거치기 때문에 정성스레 만들어진 풍미가 있으며, 잘 익은 황매실로 만든 자연 본연의 맛을 느낄 수 있다. 또한 지리산의 맑은 기운과 주산의 암반수를 사용하였으며, 저온발효와 살균, 숙성의 단계를 거치는 깐깐한 제조과정으로 제조한다. 마지막으로 몸에 해로운 화학성분은 일절 첨가하지 않았다.",,,,,,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5687160-%EB%A7%A4%EC%95%84%EB%9E%91_main.jpg,https://terms.naver.com/entry.naver?docId=5687160&cid=58637&categoryId=58658,5687160
172,머루 이야기,머루이야기,3.0,1.0,1.0,4.0,12%,0.0,과실주,,375ml,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)",농업회사법인산들벗(주),국내산 산머루,농업회사법인산들벗(주),청정 무주에서 재배되는 산머루를 발효하여 만든 고급 과실주이다. 새로운 와인제조기술을 도입하여 머루만의 장점을 최대한 살려 빚은 과실주로 유려하고 세련된 패키지 디자인으로 젊은층에게 호응을 얻고 있는 제품이다. 2013년 대한민국 우리술품평회 과실주 부문 우수상을 수상하며 그 품질을 인정 받았다.,정무균,전북특별자치도 무주군 적상면 서창로 72,063-322-9447,,잘 익힌 수육과 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595284-%EB%A8%B8%EB%A3%A8%20%EC%9D%B4%EC%95%BC%EA%B8%B0_main.jpg,https://terms.naver.com/entry.naver?docId=3595284&cid=58637&categoryId=58655,3595284
173,머르드 서 드라이,머르드서드라이,2.0,4.0,3.0,4.0,13.5%,0.0,과실주,,750ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)",산머루농원영농조합법인,국내산 산머루 100%,산머루농원영농조합법인,"'머르 드 서 드라이'는 100% 국내산 산머루로 만들어 오크통에서 10년을 숙성한 프리미엄 머루 와인이다. 돌산을 쪼개에 직접 가꾼 지하 속성 터널에서 오랜 시간 숙성시킨 머르 드 서 드라이와인은 중후한 바디감과 부드러운 타닌맛, 풍부한 과즙맛이 조화롭다. 머르 드 서(meoru de seo)는 '머루'와 산머루농원을 일군 서씨 부자의 성을 따서 만든 이름이다. 한글로는 '머루 드세오'로도 읽힌다.",서부건,경기도 파주시 윗배우니길 441-25,031-958-4558,https://sanmeoru.modoo.at,"음식으로는 고기류가 잘 어울리며, 진한 맛으로 양꼬치, 항정살, 스테이크와도 잘 어울리는 맛이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040703-%EB%A8%B8%EB%A5%B4%EB%93%9C%20%EC%84%9C%20%EB%93%9C%EB%9D%BC%EC%9D%B4_main.jpg,https://terms.naver.com/entry.naver?docId=6040703&cid=58637&categoryId=58651,6040703
174,머르드 서 스위트,머르드서스위트,4.0,3.0,3.0,4.0,12%,0.0,과실주,,750ml,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)",산머루농원영농조합법인,국내산 산머루 100%,산머루농원영농조합법인,"'머르 드 서 스위트'는 100% 국내산 산머루로 만들어 오크통에서 5년을 숙성한 프리미엄 머루 와인이다. 돌산을 쪼개에 직접 가꾼 지하 속성 터널에서 오랜 시간 숙성시킨 머르 드 서 드라이와인은 중후한 바디감과 부드러운 타닌맛, 풍부한 과즙맛이 조화롭다. 머르 드 서(meoru de seo)는 '머루'와 산머루농원을 일군 서씨 부자의 성을 따서 만든 이름이다. 한글로는 '머루 드세오'로도 읽힌다.",서부건,경기도 파주시 윗배우니길 441-25,031-958-4558,https://sanmeoru.modoo.at,"다양한 맛의 조합이 특징인 만큼 음식으로는 불고기, 양념갈비, 떡갈비 등 양념이 들어간 고기류와 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040722-%EB%A8%B8%EB%A5%B4%EB%93%9C%20%EC%84%9C%20%EC%8A%A4%EC%9C%84%ED%8A%B8_main.jpg,https://terms.naver.com/entry.naver?docId=6040722&cid=58637&categoryId=58651,6040722
175,메로니아,메로니아,4.0,1.0,5.0,4.0,4%,0.0,기타주류,탄산,750ml,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다.)",배혜정 도가,"쌀, 국, 효모, 젖산, 멜론 향, 물엿 등",배혜정 도가,"메로니아는 막걸리에 멜론특유의 달콤함을 담아 멜론 맛 아이스크림이 그대로 녹아 들어 있는 듯한 탁주이다. 일반적인 과일 막걸리는 살균을 통해 유통기한을 늘리지만, 메로니아는 독특하게 살균을 하지 않은 생 탁주로 생 막걸리 특유의 부드러움과 멜론의 향과 맛이 달콤하게 느껴져 평소 술을 좋아하지 않는 사람도 거리낌없이 즐길 수 있는 술이다.",배혜정,경기도 화성시 정남면 문학리 674-23,02) 3462-7328,,식사를 다 한 후에 디저트 술로 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551494-%EB%A9%94%EB%A1%9C%EB%8B%88%EC%95%84_main.jpg,https://terms.naver.com/entry.naver?docId=3551494&cid=58637&categoryId=58651,3551494
176,메밀로,메밀로,,,,4.0,45%,0.0,일반증류주,,500ml,"￦150,000 (가격은 판매처 별로 상이할 수 있습니다)",농업회사법인 두루(주),"국내산쌀, 메밀, 누룩, 정제수",농업회사법인 두루(주),"'메밀로'는 강원도 홍천쌀과 메밀, 누룩만으로 빚어 증류한 알코올도수 45도의 증류주이다. 높은 알코올 도수답게 입안에서 강하고 묵직함이 오래 남는다. 구수한 메밀향이 조화되어 전체적인 밸런스가 매우 좋은 술이다. 프랑스 와인이 자랑하는 떼루아는 천(天), 지(地), 인(人) 즉 좋은 자연환경을 말한다. 강원도 홍천 삼선대의 좋은 기운과 울창한 숲으로 둘러싸인 천혜의 자연환경, 그리고 두루양조장에서 고문헌의 제조 기법이 합쳐져 빚어진 술이 '메밀로'이다.",김경찬,강원도 홍천 내촌면 용포길 31-25,070-4156-9090,,시원한 복지리탕이 생각난다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804497-%EB%A9%94%EB%B0%80%EB%A1%9C_main.jpg,https://terms.naver.com/entry.naver?docId=5804497&cid=58637&categoryId=58652,5804497
177,면천두견주,면천두견주,3.0,1.0,1.0,3.0,18%,0.0,약주청주,,360ml,"30,000",(주)면천두견주,"국내산찹쌀,누룩,진달래꽃",,"삼월삼짇날의 절기주인 두견주는 진달래가 들어가는 절식 가운데 으뜸으로, 우리나라 전국 산야 어디에서나 피는 까닭에 신분의 구별 없이 가장 널리 빚어 마셨던 가장 대표적인 봄철 술이다. 두견주에 관한 내용은 「증보산림경제」, 「동의보감」 등에 수록되어 있는데, 두견주가 처음 주조된 연대는 명확하지 않으나 고려시대 태조 때부터 제조된 것으로 전해진다.",,,,,,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5687171-%EB%A9%B4%EC%B2%9C%EB%91%90%EA%B2%AC%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5687171&cid=58637&categoryId=58654,5687171
